127.0.0.1 - - [23/May/2022:00:30:42 +0900] "GET / HTTP/1.1" 200 6181
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:12 +0900] "GET /resources/assets/css/popup.css HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:12 +0900] "GET /resources/assets/images/chicken.jpg HTTP/1.1" 200 46794
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:12 +0900] "GET /resources/assets/images/pizza_cover.jpg HTTP/1.1" 200 120656
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:12 +0900] "GET /resources/assets/css/demo.css HTTP/1.1" 200 9451
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:12 +0900] "GET /resources/assets/images/chicken.jpg HTTP/1.1" 200 46794
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:12 +0900] "GET /resources/assets/images/pizza_cover.jpg HTTP/1.1" 200 120656
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /store/list/2 HTTP/1.1" 200 16625
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/css/storeLayOut.css HTTP/1.1" 200 30716
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/css/style.css HTTP/1.1" 200 30872
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/css/normalizeStoreManagement.css HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/css/componentStoreManagement.css HTTP/1.1" 200 5999
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/css/basic.css HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/css/demo.css HTTP/1.1" 200 9451
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/css/demoStoreManagement.css HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/css/popup.css HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/js/review.js HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/js/cart.js HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/js/common.js HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/js/scroll.js HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/js/modernizr.custom.js HTTP/1.1" 200 8496
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/js/classie.js HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:14 +0900] "GET /resources/assets/images/icon_search1.png HTTP/1.1" 200 1914
